               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.039238,            0.031391,           0.0088795,             0.85253,             0.83413,             0.88924,             0.63449,            0.033649,            0.017414,           0.0036954,           0.0023629,           0.0023629,           0.0023629
                  56,            0.038351,            0.032356,           0.0072971,             0.83032,             0.85178,             0.87846,             0.62976,            0.033445,            0.017269,           0.0036432,           0.0022214,           0.0022214,           0.0022214
                  57,            0.038654,            0.036967,           0.0084933,             0.83246,             0.83722,             0.87981,             0.63369,            0.033016,            0.017137,           0.0035775,             0.00208,             0.00208,             0.00208
                  58,            0.039564,             0.03337,           0.0080521,             0.83677,             0.84952,              0.8899,             0.64283,            0.032765,            0.017056,           0.0035244,           0.0019386,           0.0019386,           0.0019386
                  59,            0.037262,            0.034215,           0.0077352,             0.83103,             0.85144,             0.88817,             0.65153,              0.0326,            0.017074,           0.0034999,           0.0017971,           0.0017971,           0.0017971
                  60,            0.037179,            0.031698,            0.007357,             0.84177,             0.83675,             0.88994,             0.64821,            0.032337,               0.017,           0.0034845,           0.0016557,           0.0016557,           0.0016557
                  61,            0.037609,             0.03378,           0.0083146,             0.90082,             0.80044,             0.88684,             0.64491,            0.032023,            0.016848,           0.0034658,           0.0015143,           0.0015143,           0.0015143
                  62,            0.037673,            0.035229,            0.007451,             0.88417,             0.82843,             0.89355,             0.65112,            0.031842,             0.01676,           0.0034451,           0.0013729,           0.0013729,           0.0013729
                  63,            0.037142,            0.036316,           0.0075916,             0.88407,             0.83245,             0.88643,             0.65091,            0.031666,            0.016659,           0.0034219,           0.0012314,           0.0012314,           0.0012314
                  64,            0.038801,             0.03625,           0.0081702,             0.87167,             0.82736,             0.87953,             0.65514,            0.031516,             0.01658,           0.0033962,             0.00109,             0.00109,             0.00109
                  65,            0.037815,            0.036219,           0.0073555,             0.87744,             0.82189,             0.87761,             0.65659,            0.031319,            0.016501,           0.0033792,          0.00094857,          0.00094857,          0.00094857
                  66,            0.034868,            0.031167,           0.0069428,             0.87388,             0.81757,             0.87987,             0.66132,            0.031131,             0.01642,           0.0033703,          0.00080714,          0.00080714,          0.00080714
                  67,            0.035333,            0.033251,           0.0070841,             0.87087,             0.82054,             0.87976,             0.66575,            0.030988,            0.016371,           0.0033683,          0.00066571,          0.00066571,          0.00066571
                  68,            0.036924,             0.03275,           0.0066585,             0.87269,              0.8261,             0.88277,             0.66667,            0.030922,            0.016332,           0.0033575,          0.00052429,          0.00052429,          0.00052429
                  69,             0.03645,            0.032285,           0.0075888,             0.86809,             0.83286,             0.88442,             0.67114,            0.030929,            0.016306,           0.0033411,          0.00038286,          0.00038286,          0.00038286
